Timestamp (microseconds)      Peak Amplitude
1699174870731560               10144
1699174870744400                6769
1699174870752340                7269
1699174870761310                5769
1699174870777970                7977
1699174870781630                8644
1699174870799470                8936
1699174870805030               16185
1699174870811510               16601
1699174870827160                5728
1699174870838090                7394
1699174870845540                8227
1699174870854910                7102
1699174870868040                6686
1699174870877700                5019
1699174870887150                5394
1699174870891600                4728
1699174870900260                4228
1699174870916220                3894
1699174870922700                4228
1699174870938980                3394
1699174870940310                3728
1699174870950140                3936
1699174870962680                3686
1699174870970200                3103
1699174870982110                3436
1699174870989510                2895
1699174871008630                3145
1699174871010650                3311
1699174871028470                3145
1699174871030420                2061
1699174871045910                3436
1699174871049630                3020
1699174871064630                3603
1699174871074780                3519
1699174871086900                2561
1699174871089280                3311
1699174871099170                3394
1699174871113750                2936
1699174871126390                2895
1699174871134260                3311
1699174871139190                2728
1699174871156310                2728
1699174871161750                3644
1699174871168460                3270
1699174871179960                2978
1699174871188530                3936
1699174871202560                3020
1699174871213550                3020
1699174871220950                2978
1699174871228830                2686
1699174871238510                2395
1699174871252130                2728
1699174871260820                2478
1699174871268440                2645
1699174871281570                2728
1699174871287940                2645
1699174871298830                2978
1699174871315280                3769
1699174871322650                2436
1699174871326970                3020
1699174871344640                2145
1699174871346870                3020
1699174871361770                2728
1699174871373530                2395
1699174871377400                3145
1699174871387140                3978
1699174871406030                2811
1699174871406110                2936
1699174871417110                2270
1699174871433140                2686
1699174871436090                3020
1699174871452830                3145
1699174871459140                2353
1699174871466300                2728
1699174871478090                2061
1699174871494730                2853
1699174871496160                2811
1699174871509770                2395
1699174871522520                3228
1699174871525700                3853
1699174871540220                2061
1699174871547830                2936
1699174871564240                2811
1699174871566260                3186
1699174871583590                1895
1699174871587470                2520
1699174871601490                3394
1699174871611380                3020
1699174871622520                2561
1699174871627050                2561
1699174871638150                2686
1699174871645430                1770
1699174871656060                2853
1699174871671800                2395
1699174871680880                3186
1699174871691020                2811
1699174871696920                2270
1699174871708790                2770
1699174871722990                2436
1699174871728450                3311
1699174871735230                3311
1699174871753250                2936
1699174871755460                2645
1699174871765410                2603
1699174871775020                2686
1699174871785950                2436
1699174871802360                3311
1699174871804130                3561
1699174871815300                2895
1699174871824880                2770
1699174871839590                2478
1699174871843180                3478
1699174871855900                2228
1699174871866500                2645
1699174871876570                2811
1699174871889590                2686
1699174871893080                2853
1699174871903100                2270
1699174871920690                2603
1699174871924570                2311
1699174871935380                3228
1699174871942280                2228
1699174871954930                3145
1699174871970790                3228
1699174871973970                4103
1699174871989980                2603
1699174871999450                2186
1699174872003670                2853
1699174872017550                2436
1699174872030850                2228
1699174872033770                2478
1699174872046650                3020
1699174872051890                2645
1699174872070090                2311
1699174872070780                2686
1699174872083130                2770
1699174872099310                2978
1699174872105050                2770
1699174872116790                2728
1699174872120440                3394
1699174872134210                2353
1699174872145330                1811
1699174872156750                2353
1699174872167340                2436
1699174872171470                2436
1699174872188300                3103
1699174872192200                2645
1699174872209050                2603
1699174872212750                2936
1699174872224570                2728
1699174872238160                2561
1699174872242500                2686
1699174872253560                3478
1699174872259620                2145
1699174872275570                2311
1699174872287760                2561
1699174872297260                3103
1699174872299480                3186
1699174872318660                2395
1699174872323700                2603
1699174872330900                2853
1699174872345570                2603
1699174872351430                2645
1699174872364530                3061
1699174872373830                3061
1699174872378290                2270
1699174872391130                2811
1699174872401970                2311
1699174872411120                2395
1699174872420360                2270
1699174872435860                2770
1699174872439960                3270
1699174872452280                2311
1699174872461480                2520
1699174872477350                2061
1699174872484300                2728
1699174872488850                2603
1699174872503250                3394
1699174872511550                2561
1699174872518130                2895
1699174872528080                2686
1699174872544430                2395
1699174872550440                2561
1699174872564950                3103
1699174872575610                2353
1699174872580210                2478
1699174872595500                2353
1699174872599160                3394
1699174872615370                2478
1699174872616640                3020
1699174872635310                2020
1699174872636640                2603
1699174872649870                2936
1699174872663160                2978
1699174872669210                2395
1699174872683030                2770
1699174872686420                2561
1699174872696560                2353
1699174872713490                2561
1699174872724910                2770
1699174872727630                2395
1699174872738410                2478
1699174872751860                2186
1699174872765010                2270
1699174872768900                2895
1699174872776950                3061
1699174872785380                2395
1699174872795120                2270
